artist,title,album,date,lyrics,lyrics_count,lyrics_unique_count,unique_ratio,most_common_lyrics,most_common_count_lyrics
Coldplay,Magic,Ghost Stories,03/03/2014,call it magic call it true call it magic when i'm with you and i just got broken broken into two still i call it magic when i'm next to you and i don't and i don't and i don't and i don't know i don't it's true i don't know i don't know i don't know i don't when anybody ask but you i don't know i don't know i don't know i don't know i don't it's true i don't know i don't know i don't know i don't when anybody ask but you ooooh ooh ooh call it magic cut me into two and with all your magic i disappear from view and i can't get over can't get over you still i call it magic it's such a passion doom and i don't and i don't and i don't and i don't know i don't it's true i don't know i don't know i don't know i don't when anybody ask but you i don't know i don't know i don't know i don't know i don't it's true i don't know i don't know i don't know i don't when anybody ask but you i wanna fall fall so far i wanna fall i fall so hard and i call it magic and i call it true i call it magic ooooh ooh ooh ooooh ooh ooh ooooh ooh ooh ooooh ooh ooh and if you were to ask me after all that we've been through still believe in magic oh yes i do oh yes i do yes i do oh yes i do of course i do,274,59,0.215,['i'],[52]
Coldplay,Clocks,A Rush of Blood to the Head,26/08/2002,the lights go out and i can't be saved tides that i tried to swim against have brought me down upon my knees oh i beg i beg and plead singing come out of things unsaid shoot an apple off my head and a trouble that can't be named a tiger's waiting to be tamed singing you are you are confusion never stops closing walls and ticking clocks gonna come back and take you home i could not stop that you now know singing come out upon my seas cursed missed opportunities am i a part of the cure? or am i part of the disease? singing you are you are you are you are you are you are and nothing else compares oh nothing else compares and nothing else compares home home where i wanted to go home home where i wanted to go home you home where i wanted to are go home you home where i wanted to are go thanks to musicloars and iheartpenguins113 for correcting these lyrics,172,80,0.465,['you'],[12]
Coldplay,Daddy,Everyday Life,20/11/2019,daddy are you out there? daddy won't you come and play? daddy do you not care? is there nothing that you want to say? i know you are hurting too but i need you i do daddy if you are out there daddy all i want to say you're so far away oh and you're so far away that's okay that's okay i am okay daddy are you out there? daddy why'd you run away? daddy are you okay? look that we got the same hair and daddy it's my birthday but all i want to say is that you're so far away oh and you're so far away that's okay that's okay that's okay you're so far away won't you come and won't you stay? please stay please stay won't you come and won't you stay? one day just one day,142,55,0.387,['you'],[14]
Coldplay,Everyday Life,Everyday Life,03/11/2019,what in the world are we going to do? look at what everybody's going through what kind of world do you want it to be? am i the future or the history? 'cause everyone hurts everyone cries everyone tells each other all kinds of lies everyone falls everybody dreams and doubts got to keep dancing when the lights go out how in the world i am going to see? you as my brother not my enemy? 'cause everyone hurts everyone cries everyone sees the colour in each other's eyes everyone loves everybody gets their hearts ripped out got to keep dancing when the lights go out gonna keep dancing when the lights go out hold tight for everyday life hold tight for everyday life at first light throw my arms out open wide hallelujah hallelujah hallelu-halle-hallelujah hallelujah hallelujah hallelu-halle-hallelujah yes,140,78,0.557,['everyone'],[8]
Coldplay,Sparks,Parachutes,10/07/2000,"did i drive you away? i know what you'll say you say ""oh sing one you know"" but i promise you this i'll always look out for you yeah that's what i'll do i say oh i say oh my heart is yours it's you that i hold on to yeah that's what i do and i know i was wrong but i won't let you down oh yeah i will oh yeah i will yes i will i say oh i cry oh yeah i saw sparks yeah i saw sparks and i saw sparks yeah i saw sparks sing it out la la la la oh la la la la oh la la la la oh la la la la oh",123,47,0.382,['i'],[19]
Coldplay,Trouble,Parachutes,10/07/2000,oh no i see a spiderweb is tangled up with me and i lost my head and thought of all the stupid things i'd said oh no what's this? a spiderweb and i'm caught in the middle so i turned to run and thought of all the stupid things i'd done and i never meant to cause you trouble and i never never meant to do your wrong ah well if i ever caused you trouble oh no i never meant to do you harm oh no i see a spiderweb and it's me in the middle so i twist and turn but here am i in my little bubble singing and i never meant to cause you trouble and i never meant to do you wrong ah well if i ever caused you trouble oh no i never meant to do you harm they spun a web for me they spun a web for me they spun a web for me,162,61,0.377,['i'],[14]
Coldplay,Arabesque,Everyday Life,25/10/2019,i could be you you could be me two raindrops in the same sea you could be me i could be you two angles of the same view and we share the same blood comme deux gouttes d'eau on se ressemble comme provenant de la même mère comme deux ruisseaux you could be me qui se rassemblent i could be you pour faire les grandes rivières and we share the same blood yeah we share the same blood and we share the same blood yeah we share the same blood music is the weapon music is the weapon of the future music is the weapon music is the weapon of the future music is the weapon music is the weapon of the future same fucking blood same fucking blood,129,44,0.341,['the'],[16]
Coldplay,Hypnotised,Kaleidoscope [EP],02/03/2017,been rusting in the rubble running to a faint need a brand new coat of paint i found myself in trouble thinking about what ain't never gonna be a saint saying float like an eagle fall like the rain pouring in to put out the pain oh again and again now i'm hyp hypnotised yeah i trip when i look in your eyes oh i'm hyp hypnotised yeah i slip and i'm mesmerized it's easy to be lethal i'm learning from the news it's a guidebook for the blues saying it's the very same steeple people want to choose they just see it from different views and threading the needle fixing my flame oh now i'm moved to exclaim oh again and again oh i'm hyp hypnotised yeah i trip when i look in your eyes oh i'm hyp hypnotised yeah i lift and i'm mesmerized yeah oooh ooohh oooooooooh oh again and again now i'm hyp hypnotised yeah i lift to a permanent high oh i'm hyp hypnotised it was dark now it's sunrise,175,90,0.514,"[""i'm""]",[10]
Coldplay,All I Can Think About Is You,Kaleidoscope [EP],14/07/2017,one two three fish fell out of water bird stuck on the ground chaos giving orders everything is upside down the whole world on a flight path i wonder where they'll go ah trouble's on the outside i know but now all i can think about is you all i can think about is you if all that i'm on earth to do is solo then what a lone and poor shoe? i want to walk in a two go it's all i can it's all i can it's all i can it's all i can do it's all i can do everything is falling all around you it's all i can do all i can think about is you it's all i can all i can think about is you love is the only thing left that's true,139,66,0.475,['i'],[14]
Coldplay,Champion of the World,Everyday Life,20/11/2019,"i tried my best to be just like the other boys in school i tried my best to get it right and died in every duel this mountainside is suicide this dream will never work still this sign upon my headstone write: ""a champion of the world"" i tried my best to stay alight fly like a firework i tried my best at taking flight but my rocketship reversed oh referee don't stop the fight everyone can see i'm hurt but i'll stand before conquistadors till i'm champion of the world when i sail and when i sail i'm sailing west know i might fail knowing i might fail but still i'm hoping for the best in my dreams in my dreams on to my chest she'll pin the colours and say ""i wandered the whole wide world but baby you're the best"" lo lo-lo-lo lo oh ee-yo-ee-yo-ee-yo-ee-yeah lo lo-lo-lo lo so i'm flying on my bicycle heading upwards from the earth i am jumping with no parachute out into the universe i have e t on my bicycle because giving up won't work now i'm riding on my rocketship and i'm champion of the world",196,115,0.587,['my'],[12]
Coldplay,Violet Hill,Viva La Vida or Death and All His Friends,09/05/2008,was a long and dark december from the rooftops i remember there was snow white snow clearly i remember from the windows they were watching while we froze down below when the future's architectured by a carnival of idiots on show you'd better lie low if you love me won't you let me know? was a long and dark december when the banks became cathedrals and the fog became god priests clutched onto bibles hollowed out to fit their rifles and the cross was held aloft bury me in armor when i'm dead and hit the ground my nerves are poles that unfroze if you love me won't you let me know? i don't want to be a soldier who the captain of some sinking ship would stow far below so if you love me why'd you let me go? i took my love down to violet hill there we sat in the snow all that time she was silent still so if you love me won't you let me know? if you love me won't you let me know?,180,99,0.55,['me'],[11]
Coldplay,Ink,Ghost Stories,16/05/2014,"got a tattoo that said ""2gether thru life"" carved in your name with my pocket knife and you wonder when you wake up will it be alright? feels like there's something broken inside all i know all i know is that i'm lost whenever you go all i know is that i love you so so much that it hurts got a tattoo and the pain's alright just wanted a way of keeping you inside all i know all i know is that i'm lost in your fire below all i know is that i love you so so much that it hurts i see the road begin to climb i see your stars begin to shine i see your colors and i'm dying of thirst all i know is that i love you so so much that it hurts oh yeah yeah yeah so much that it hurts so much that it hurts",154,66,0.429,['i'],[13]
Coldplay,In My Place,A Rush of Blood to the Head,05/08/2002,in my place in my place were lines that i couldn't change i was lost oh yeah i was lost i was lost crossed lines i shouldn't have crossed i was lost oh yeah yeah how long must you wait for it? yeah how long must you pay for it? yeah how long must you wait for it? i was scared i was scared tired and underprepared but i'll wait for it if you go if you go and leave me down here on my own then i'll wait for you yeah how long must you wait for it? yeah how long must you pay for it? yeah how long must you wait for it? singin' please please please come back and sing to me to me me come on and sing it out now now come on and sing it out to me me come back and sing in my place in my place were lines that i couldn't change i was lost oh yeah oh yeah,168,48,0.286,['yeah'],[10]
Coldplay,Church,Everyday Life,22/11/2019,what i can tell you when i'm with you i'm walking on air watching you sleeping there yeah what can't i get through? and when for everyone everywhere you're answering every preyer and when you're riding a wave oh won't you ride that wave to me? when you're setting your sail oh can i be your seventh sea? when you're riding a wave when you're riding a wave 'cause when i'm hurt then i go to your church cause when i'm hurt then i go to your church when you're riding a wave oh won't you ride that wave to me? when you're riding a wave i worship in your church baby always i worship in your church all the seven days i praise and praise,126,56,0.444,['when'],[10]
